Country,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Prison Population,Homeless People due to Natural Disaster,Life expectancy at birth (years),Total unemployment rate (% of labour force),EPI,Infant mortality rate,Education Index,Domestic credit provided by financial sector (% of GDP),GTI,Total
Gabon,104th,5.0,7.1,3.7,4.8,6.9,5.5,7.4,6.8,6.9,7.1,5.0,5.1,0.893,0.893,8.08,6.04,4.0295,0.2,0.847,0.69,0,Warning
Croatia,137th,4.0,4.4,5.7,5.3,3.8,4.5,3.4,2.9,4.1,3.6,4.9,4.4,0.823,0.823,7.73,3.22,5.9645,0.38,0.795,15.39,6.4,Warning
El Salvador,102nd,6.5,4.3,6.3,5.9,6.6,6.9,4.8,6.7,6.1,6.9,5.1,5.3,0.739,0.739,7.59,1.72,4.0695,1.9,0.665,3.685,0,Warning
Micronesia,94th,5.1,5.6,4.0,8.1,8.4,9.0,6.0,5.7,3.1,7.1,3.2,8.3,0.438,0.438,7.68,0.78,5.7275,0.52,0.312,2.505,0,Warning
Namibia,106th,4.9,3.5,5.9,7.1,8.1,6.5,3.8,7.3,4.3,7.0,5.5,6.9,0.733,0.733,7.16,0.62,6.2015,0.29,0.738,1.49,3.04,Warning
Cape Verde,94th,5.7,5.5,4.0,6.2,7.5,8.6,5.7,6.5,4.5,7.1,4.1,8.1,0.514,0.514,5.55,1.52,3.386,5.86,0.493,0,0,Warning
Macedonia,118th,5.4,7.0,7.0,5.7,5.6,5.5,5.5,4.4,3.9,3.3,5.3,5.9,0.495,0.495,7.93,1.18,6.5025,7.05,0.503,2.275,0.28,Warning
Cyprus,114th,4.4,7.9,7.0,6.7,6.4,4.5,5.3,3.0,3.3,4.0,4.5,9.2,0.854,0.854,8.02,1.88,5.87,0.26,0.786,1.46,4.9,Warning
Peru,98th,7.1,6.7,7.5,3.7,7.3,6.7,7.1,7.1,4.6,5.3,4.8,4.0,0.548,0.548,7.68,1.32,5.572,0.22,0.395,2.04,0,Warning
Moldova,96th,6.6,7.8,6.5,6.3,5.3,6.4,6.3,5.4,5.4,5.3,4.4,7.3,0.853,0.853,5.8,1.46,5.4605,3.02,0.781,-1.31,0,Stable
Albania,125th,4.7,6.2,5.0,5.2,4.2,7.1,6.2,4.5,5.5,4.1,3.1,6.1,0.762,0.762,7.78,3.5,2.1565,1.29,0.715,3.385,7.41,Stable
Antigua and Barbuda,127th,5.2,3.7,3.9,5.0,5.0,7.3,5.9,3.9,4.5,4.6,3.0,5.8,0.531,0.531,5.23,1.46,3.353,9.88,0.48,4.23,5.9,Stable
Samoa,111th,5.2,5.1,4.5,6.5,5.4,8.9,6.2,5.0,4.5,6.2,2.1,8.6,0.852,0.852,6.82,3.94,5.394,1.36,0.852,0,0,Stable
