Country,Year,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Prison Population,Homeless People due to Natural Disaster,Life expectancy at birth (years),Total unemployment rate (% of labour force),EPI,Infant mortality rates,Education Index,Domestic credit provided by financial sector (% of GDP),GTI,Total
Honduras,2013,75th,6.8,6.3,5.8,6.9,8.1,6.6,6.9,6.8,6.3,7.0,3.9,6.9,0.633,0.633,6.62,2.2,1.096072199,3.33,0.568,2.895,0.04,Warning
Saudi Arabia,2013,102nd,7.2,8.0,7.4,3.6,6.4,3.1,7.8,4.0,8.9,5.5,5.2,5.6,0.843,0.843,8.03,2.72,3.944185667,0.46,0.675,6.095,0,Warning
Armenia,2013,105th,5.3,7.0,5.7,5.9,5.6,6.0,6.6,4.4,6.8,4.9,7.0,6.2,0.823,0.823,7.59,1.04,1.408003276,1.23,0.808,2.07,8.669,Warning
Tunisia,2013,83rd,7.2,7.8,7.8,6.0,6.0,5.0,7.9,5.0,8.4,4.9,4.2,6.3,0.635,0.635,8.18,3.52,5.791097641,2.08,0.57,-2.63,0.069,Warning
Morocco,2013,93rd,6.3,6.6,6.5,5.3,6.9,7.0,6.7,5.9,6.6,5.8,5.9,4.9,0.753,0.753,7.4,4.52,2.003925618,1.31,0.642,3.025,0,Warning
Serbia,2013,92nd,6.5,8.0,8.0,6.5,5.9,4.7,6.3,4.7,5.5,4.7,6.6,7.0,0.799,0.799,7.43,2.06,4.612700448,0.73,0.807,3.06,0,Warning
Belarus,2013,81st,6.3,8.3,6.8,6.2,5.7,3.9,9.0,5.2,8.3,5.7,3.6,7.6,0.792,0.792,7.53,1.5,2.880752924,1.3,0.773,1.6,0.158,Warning
South Africa,2013,113th,5.1,5.6,5.7,5.9,8.0,4.3,5.3,6.3,4.2,7.8,6.5,2.9,0.474,0.474,7.4,4.94,6.753733697,0.29,0.329,3.16,2.066,Warning
Gabon,2013,99th,5.4,7.1,3.3,5.2,7.3,5.5,7.6,7.0,6.8,6.8,5.6,5.4,0.887,0.887,8.04,5.96,2.325039607,0.22,0.83,0.705,0.203,Warning
Dominican Republic,2013,95th,5.2,6.5,6.1,5.5,6.9,7.9,5.4,6.2,5.7,6.4,5.5,5.9,0.464,0.464,6.13,0.82,2.579795294,5.89,0.309,2.26,0.395,Warning
